name,artist,ALBUM_name,SERIES_name
"The One with All the Kissing","David Crane & Marta Kauffman","","FRIENDS"
"The One with the Triplets","David Crane & Marta Kauffman","","FRIENDS"
"The One with Ross's Sandwich","David Crane & Marta Kauffman","","FRIENDS"
